Strasse;Bemerkung;Bezirk
Adolf-Damaschke-Straße;;2
Adolf-Damaschke-Straße;;C
Agathastraße;;2
Agathastraße;;C
Agnes-Decker-Straße;;8
Agnes-Decker-Straße;;R
Ahornweg;;7
Ahornweg;;N
Akazienweg;;7
Akazienweg;;N
Alte Bohle;;3
Alte Bohle;;F
Alte Bonnstraße;von Römerstraße bis K7;4
Alte Bonnstraße;von Römerstraße bis K7;G
Alte Bonnstraße;von K7 bis Ende;8
Alte Bonnstraße;von K7 bis Ende;R
Am Amtsgericht;;4
Am Amtsgericht;;H
Am Birkhof;;7
Am Birkhof;;N
Am Daberger Hof;;3
Am Daberger Hof;;F
Am Eichenbusch;;3
Am Eichenbusch;;E
Am Falter;;8
Am Falter;;P
Am Hennebach;;8
Am Hennebach;;R
Am Hohlweg;;8
Am Hohlweg;;P
Am Hülderberg;;7
Am Hülderberg;;O
Am Inselweiher;;6
Am Inselweiher;;M
Am Kirchberg;;1
Am Kirchberg;;B
Auf dem Kamm;;7
Auf dem Kamm;;N
Auf den Steinen;;8
Auf den Steinen;;R
Auf der Burg;;4
Auf der Burg;;G
Auf der Höhe;;3
Auf der Höhe;;F
Auf der Kehre;;7
Auf der Kehre;;N
Auf der Pehle;;4
Auf der Pehle;;G
Auguste-Viktoria-Straße;;5
Auguste-Viktoria-Straße;;J
Badorfer Straße;von Pehler Hülle bis Wingertsberg;8
Badorfer Straße;von Pehler Hülle bis Wingertsberg;R
Bahnhofstraße;;5
Bahnhofstraße;;K
Balthasar-Neumann-Platz;;4
Balthasar-Neumann-Platz;;H
Barbarastraße;;1
Barbarastraße;;A
Bavinganstraße;;8
Bavinganstraße;;R
Bendgespfad;;7
Bendgespfad;;O
Bergerstraße;von Kölnstraße bis Schildgesstraße;6
Bergerstraße;von Kölnstraße bis Schildgesstraße;L
Bergerstraße;von Schildgesstraße bis Rheinstraße;6
Bergerstraße;von Schildgesstraße bis Rheinstraße;M
Berggasse;;7
Berggasse;;N
Berggeiststraße;;7
Berggeiststraße;;N
Bergstraße;;1
Bergstraße;;A
Berliner Ring;;4
Berliner Ring;;G
Berrenrather Straße;;1
Berrenrather Straße;;B
